hostname,acl-name,seq number,action
uk-sov-cr01,acl-servicenow,10,permit ipv4 host 10.112.12.119 any
uk-sov-cr01,acl-servicenow,20,permit ipv4 host 10.210.143.80 any
uk-sov-cr01,acl-servicenow,30,permit ipv4 host 10.120.143.80 any
uk-sov-cr01,acl-servicenow,40,permit ipv4 host 10.180.142.232 any
uk-sov-cr01,acl-servicenow,50,deny ipv4 any any log
uk-sov-cr01,solarwinds-new,10,permit udp host 10.120.163.122 any eq snmp
uk-sov-cr01,solarwinds-new,20,permit udp host 10.120.163.123 any eq snmp
uk-sov-cr01,solarwinds-new,30,permit udp host 10.120.163.142 any eq snmp
uk-sov-cr01,solarwinds-new,40,permit udp host 10.120.163.143 any eq snmp
uk-sov-cr01,solarwinds-new,50,permit udp host 10.112.12.125 any eq snmp
uk-sov-cr01,solarwinds-new,60,permit udp host 10.112.12.126 any eq snmp
uk-sov-cr01,solarwinds-new,70,permit udp host 10.112.12.142 any eq snmp
uk-sov-cr01,solarwinds-new,80,permit udp host 10.112.12.143 any eq snmp
uk-sov-cr01,solarwinds-new,90,permit udp host 10.112.12.144 any eq snmp
