hostname,ip address,vrf,preferred,source interface
uk-gsh-as01-f00,10.120.193.235,,yes,Vlan99
uk-gsh-as01-f00,10.180.193.235,,no,Vlan99
uk-gsh-as01-f00,10.220.193.235,,no,Vlan99
uk-gsh-as01-f00,10.210.193.235,,no,Vlan99
