hostname,ip address,vrf,preferred,source interface
uk-sc1-ar01-AS400,10.120.163.19,mgmt-vrf,no,GigabitEthernet0/1
uk-sc1-ar01-AS400,10.120.163.20,mgmt-vrf,no,GigabitEthernet0/1
