hostname,ip address,vrf,preferred,source interface
uk-cwk-oob-spoke01,10.120.193.235,Mgmt-vrf,no,Vlan98
uk-cwk-oob-spoke01,10.120.193.236,Mgmt-vrf,no,Vlan98
