HOSTNAME,DESCR,NAME,PID,SN,VID
us-da1-cr01,SFP Transceiver 1000BaseLH Te5/10,Transceiver Te5/10,Unspecified,17706510608,Unspecified
us-da1-cr01,SFP Transceiver 1000BaseLH Te5/12,Transceiver Te5/12,Unspecified,17B00851373,Unspecified
us-da1-cr01,SFP Transceiver 1000BaseSX Te5/2,Transceiver Te5/2,Unspecified,18201670402,Unspecified
us-da1-cr01,SFP+ Transceiver 10Gbase-LR Te5/6,Transceiver Te5/6,SFP-10G-LR,AVD2207K7Y9,V02
us-da1-cr01,SFP+ Transceiver 10Gbase-LR Te5/4,Transceiver Te5/4,SFP-10G-LR,AVD2207K84D,V02
us-da1-cr01,SFP+ Transceiver 10Gbase-LR Te5/14,Transceiver Te5/14,SFP-10G-LR,AVD2207K84J,V02
us-da1-cr01,C6880-X Fan Tray 1,C6880-X-FAN 1,C6880-X-FAN,DCH2211R5K7,V02
us-da1-cr01,AC power supply,PS 1 C6880-X-3KW-AC,C6880-X-3KW-AC,DTM2217003U,V02
us-da1-cr01,AC power supply,PS 2 C6880-X-3KW-AC,C6880-X-3KW-AC,DTM2217004P,V02
us-da1-cr01,C6880-X-PFC Policy Feature Card 4 Rev. 1.2,C6880-X-PFC Policy Feature Card 4 EARL 1 sub-module of 5,C6880-X-PFC,JAE22100754,none
us-da1-cr01,C6880-X-SUP 20 ports 6880-X 16P SFP+ Multi-Rate Rev. 1.3,5,C6880-X-SUP,JAE221208S4,none
us-da1-cr01,Cisco Systems,C6880-X,C6880-X,SAL221400XW,V02
