hostname,acl_name,seq_num,remark,action,protocol,src_network,src_operator,src_port,dest_network,dest_operator,dest_port,established_log,logging
mt-msc-cs01,hp-oneview,20,,permit,udp,10.120.163.110/32,,,any,eq,snmp,,
mt-msc-cs01,hp-oneview,30,,permit,udp,10.180.163.110/32,,,any,eq,snmp,,
mt-msc-cs01,hp-oneview,40,,permit,udp,10.220.163.110/32,,,any,eq,snmp,,
mt-msc-cs01,solarwinds,482,,permit,ip,10.120.163.122/32,,,any,,,,
mt-msc-cs01,solarwinds,484,,permit,ip,10.120.163.123/32,,,any,,,,
mt-msc-cs01,solarwinds,486,,permit,ip,10.112.12.125/32,,,any,,,,
mt-msc-cs01,solarwinds,488,,permit,ip,10.112.12.126/32,,,any,,,,
mt-msc-cs01,solarwinds-new,10,,permit,udp,10.120.163.122/32,,,any,eq,snmp,,
mt-msc-cs01,solarwinds-new,20,,permit,udp,10.120.163.123/32,,,any,eq,snmp,,
mt-msc-cs01,solarwinds-new,30,,permit,udp,10.120.163.142/32,,,any,eq,snmp,,
mt-msc-cs01,solarwinds-new,40,,permit,udp,10.120.163.143/32,,,any,eq,snmp,,
mt-msc-cs01,solarwinds-new,50,,permit,udp,10.112.12.125/32,,,any,eq,snmp,,
mt-msc-cs01,solarwinds-new,60,,permit,udp,10.112.12.126/32,,,any,eq,snmp,,
mt-msc-cs01,solarwinds-new,70,,permit,udp,10.112.12.142/32,,,any,eq,snmp,,
mt-msc-cs01,solarwinds-new,80,,permit,udp,10.112.12.143/32,,,any,eq,snmp,,
mt-msc-cs01,solarwinds-new,90,,permit,udp,10.112.12.144/32,,,any,eq,snmp,,
mt-msc-cs01,solarwinds-new,100,,deny,ip,any,,,any,,,,log
