hostname,name,type,seq number,remark,action,src_service_obj,src_service_obj_grp,protocol,src_host,src_network_obj,src_network_obj_grp,src_network,dest_host,dest_network_obj,dest_network_obj_grp,dest_network,dest_port,dest_port_obj_grp,dest_port_range,logging_level,logging_interval,status
uk-sc1-fw01-sec,wan-vrf_access_in,extended,1,TFTP TEST,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,wan-vrf_access_in,extended,2,,permit,,,ip,,,DM_INLINE_NETWORK_61,,,LCW-PeterEdwards,,,,,,informational,300,inactive
uk-sc1-fw01-sec,wan-vrf_access_in,extended,3,Deny Rule - CHG0115229, PCI Q4 2018,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,wan-vrf_access_in,extended,4,,deny,,,ip,,,Corp-Wifi-Subnets,,,,,any,,,,,,active
uk-sc1-fw01-sec,wan-vrf_access_in,extended,5,CHG0120376, PCI Q4 2018,PCI-Q2-2019,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,wan-vrf_access_in,extended,6,,permit,,,udp,,net-obj-bfa-boostbox,,,,,infoblox-all-dns-servers,,bootps,,,,,active
uk-sc1-fw01-sec,wan-vrf_access_in,extended,7,CHG0120376, PCI Q4 2018,PCI-Q2-2019,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,wan-vrf_access_in,extended,8,,permit,,svc-grp-o2-boostbox,,,net-obj-bfa-boostbox,,,,,net-obj-grp-o2-boostbox,,,,,,,active
uk-sc1-fw01-sec,wan-vrf_access_in,extended,9,CHG0041489, CHG0062628,PCI-Q4-2017,PCI-Q2-2019,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,wan-vrf_access_in,extended,10,,permit,,,tcp,,,,10.99.254.0 255.255.255.0,,,DM_INLINE_NETWORK_195,,tacacs,,,informational,300,active
uk-sc1-fw01-sec,wan-vrf_access_in,extended,11,CHG0041489,PCI-Q4-2017,PCI-Q2-2019,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,wan-vrf_access_in,extended,12,,permit,,,udp,,,DM_INLINE_NETWORK_196,,,,DM_INLINE_NETWORK_197,,ntp,,,informational,300,active
uk-sc1-fw01-sec,wan-vrf_access_in,extended,13,Network device logging,PCI-Q4-2017,PCI-Q2-2019,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,wan-vrf_access_in,extended,14,,permit,,,udp,,ClassA-8,,,,,DM_INLINE_NETWORK_198,,syslog,,,,,active
uk-sc1-fw01-sec,wan-vrf_access_in,extended,15,CHG0079116,PCI-Q4-2017,PCI-Q2-2019,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,wan-vrf_access_in,extended,16,,permit,,,udp,,,wan-edge-routers,,,sc1wnpremn71,,,,ca-netflow,,notifications,300,active
uk-sc1-fw01-sec,wan-vrf_access_in,extended,17,Deny Rule - CHG0020650,,,,,,,,,,,,,,,,,,
uk-sc1-fw01-sec,wan-vrf_access_in,extended,18,,deny,,,ip,,,,any4,,,DM_INLINE_NETWORK_44,,,,,informational,300,active
