hostname,name,type,seq number,remark,action,src_service_obj,src_service_obj_grp,protocol,src_host,src_network_obj,src_network_obj_grp,src_network,dest_host,dest_network_obj,dest_network_obj_grp,dest_network,dest_port,dest_port_obj_grp,dest_port_range,logging_level,logging_interval,status
uk-ld6-lab-fw05,global,extended,1,,permit,,,ip,,,,any,,,,any,,,,informational,300,active
uk-ld6-lab-fw05,cde_db_access_in,extended,1,,permit,,,icmp,,,,any,,,,any,,,,informational,300,active
uk-ld6-lab-fw05,cde_db_access_in,extended,2,,deny,,,tcp,,,,any,,,,,ftp,,,,,active
uk-ld6-lab-fw05,cde_db_access_in,extended,3,,permit,,,tcp,,,,any,,,,,www,,,,,active
uk-ld6-lab-fw05,internal-vrf_access_in,extended,1,CHG0128520,,,,,,,,,,,,,,,,,,
uk-ld6-lab-fw05,internal-vrf_access_in,extended,2,,permit,,,tcp,,,DM_INLINE_NETWORK_1,,,,DM_INLINE_NETWORK_2,,,DM_INLINE_TCP_2,,informational,300,active
uk-ld6-lab-fw05,internal-vrf_access_in,extended,3,,permit,,,icmp,,,,any,,,,any,,,,informational,300,active
uk-ld6-lab-fw05,internal-vrf_access_in,extended,4,,permit,,,ip,,,,any,,,,any,,,,informational,300,active
