hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,150,permit,udp,10.3.228.0 0.0.0.255,host 192.168.9.102,non500-isakmp
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,160,permit,ip,10.3.228.0 0.0.0.255,host 141.138.129.40,
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,170,permit,ip,10.3.228.0 0.0.0.255,host 95.131.184.37,
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,180,permit,tcp,10.3.228.0 0.0.0.255,0.1.28.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,190,permit,tcp,10.3.228.0 0.0.0.255,0.1.28.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,200,permit,tcp,10.3.228.0 0.0.0.255,211.36.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,210,permit,tcp,10.3.228.0 0.0.0.255,211.36.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,220,permit,tcp,10.3.228.0 0.0.0.255,212.36.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,230,permit,tcp,10.3.228.0 0.0.0.255,212.36.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,240,permit,tcp,10.3.228.0 0.0.0.255,213.36.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,250,permit,tcp,10.3.228.0 0.0.0.255,213.36.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,260,permit,tcp,10.3.228.0 0.0.0.255,214.36.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,270,permit,tcp,10.3.228.0 0.0.0.255,214.36.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,280,permit,tcp,10.3.228.0 0.0.0.255,215.36.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,290,permit,tcp,10.3.228.0 0.0.0.255,215.36.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,300,permit,tcp,10.3.228.0 0.0.0.255,216.36.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,310,permit,tcp,10.3.228.0 0.0.0.255,216.36.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,320,permit,tcp,10.3.228.0 0.0.0.255,211.38.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,330,permit,tcp,10.3.228.0 0.0.0.255,211.38.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,340,permit,tcp,10.3.228.0 0.0.0.255,212.38.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,350,permit,tcp,10.3.228.0 0.0.0.255,212.38.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,360,permit,tcp,10.3.228.0 0.0.0.255,213.38.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,370,permit,tcp,10.3.228.0 0.0.0.255,213.38.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,380,permit,tcp,10.3.228.0 0.0.0.255,214.38.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,390,permit,tcp,10.3.228.0 0.0.0.255,214.38.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,400,permit,tcp,10.3.228.0 0.0.0.255,215.38.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,410,permit,tcp,10.3.228.0 0.0.0.255,215.38.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,420,permit,tcp,10.3.228.0 0.0.0.255,216.38.0 0.0.1.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,430,permit,tcp,10.3.228.0 0.0.0.255,216.38.0 0.0.1.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,440,permit,tcp,10.3.228.0 0.0.0.255,211.43.0 0.0.0.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,450,permit,tcp,10.3.228.0 0.0.0.255,211.43.0 0.0.0.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,460,permit,tcp,10.3.228.0 0.0.0.255,212.43.0 0.0.0.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,470,permit,tcp,10.3.228.0 0.0.0.255,212.43.0 0.0.0.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,480,permit,tcp,10.3.228.0 0.0.0.255,213.43.0 0.0.0.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,490,permit,tcp,10.3.228.0 0.0.0.255,213.43.0 0.0.0.255,443
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,500,permit,tcp,10.3.228.0 0.0.0.255,214.43.0 0.0.0.255,www
GH_FIBRESWITCH_1,FROM-GSH-TESTWIFI,Extended,510,permit,tcp,10.3.228.0 0.0.0.255,214.43.0 0.0.0.255,443
