hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
uk-gsh-fs01,FROM-GSH-TESTWIFI,Extended,820,permit,tcp,10.3.228.0 0.0.1.255,0.200.0 0.0.1.255,8080
uk-gsh-fs01,FROM-GSH-TESTWIFI,Extended,830,permit,tcp,10.3.228.0 0.0.1.255,0.200.0 0.0.1.255,7072
uk-gsh-fs01,FROM-GSH-TESTWIFI,Extended,840,permit,tcp,10.3.228.0 0.0.1.255,0.200.0 0.0.1.255,22
uk-gsh-fs01,FROM-GSH-TESTWIFI,Extended,850,permit,tcp,10.3.228.0 0.0.0.255,host 212.36.187.235,45454
uk-gsh-fs01,FROM-GSH-TESTWIFI,Extended,860,permit,tcp,10.3.228.0 0.0.0.255,host 212.36.187.239,45454
uk-gsh-fs01,FROM-GSH-TESTWIFI,Extended,870,permit,tcp,10.3.228.0 0.0.0.255,host 212.36.187.241,45454
uk-gsh-fs01,FROM-GSH-TESTWIFI,Extended,880,permit,tcp,10.3.228.0 0.0.0.255,220.43.0 0.0.0.255,www
uk-gsh-fs01,FROM-GSH-TESTWIFI,Extended,890,permit,tcp,10.3.228.0 0.0.0.255,220.43.0 0.0.0.255,443
uk-gsh-fs01,FROM-GSH-TESTWIFI,Extended,900,permit,tcp,10.3.228.0 0.0.0.255,220.43.0 0.0.0.255,8080
uk-gsh-fs01,FROM-GSH-TESTWIFI,Extended,910,deny,ip,10.3.228.0 0.0.0.255,168.0.0 0.0.255.255,
uk-gsh-fs01,FROM-GSH-TESTWIFI,Extended,920,deny,ip,10.3.228.0 0.0.0.255,2.16.0.0 0.15.255.255,
uk-gsh-fs01,FROM-GSH-TESTWIFI,Extended,930,deny,ip,10.3.228.0 0.0.0.255,0.0.0.0 0.255.255.255,
uk-gsh-fs01,FROM-GSH-TESTWIFI,Extended,940,permit,tcp,10.3.228.0 0.0.0.255,any,
uk-gsh-fs01,FROM-GSH-TESTWIFI,Extended,950,permit,udp,10.3.228.0 0.0.0.255,any,
uk-gsh-fs01,FROM-GSH-TESTWIFI,Extended,960,permit,ip,10.3.228.0 0.0.0.255,any,
uk-gsh-fs01,FROM-GSH-TESTWIFI,Extended,970,deny,ip,any,any,
uk-gsh-fs01,FROM-GSH-WIFI,Extended,10,permit,udp,host 10.3.88.3,host 224.0.0.2,1985
uk-gsh-fs01,FROM-GSH-WIFI,Extended,20,permit,tcp,10.3.88.128 0.0.0.127,host 192.0.2.1,443
uk-gsh-fs01,FROM-GSH-WIFI,Extended,30,permit,udp,10.3.88.128 0.0.0.127,host 10.3.0.10,domain
uk-gsh-fs01,FROM-GSH-WIFI,Extended,40,permit,udp,10.3.88.128 0.0.0.127,host 10.210.193.235,domain
uk-gsh-fs01,FROM-GSH-WIFI,Extended,50,permit,udp,10.3.88.128 0.0.0.127,host 10.120.193.235,domain
uk-gsh-fs01,FROM-GSH-WIFI,Extended,60,permit,udp,10.3.88.128 0.0.0.127,host 10.64.72.10,domain
uk-gsh-fs01,FROM-GSH-WIFI,Extended,70,permit,tcp,10.3.88.128 0.0.0.127,host 192.168.9.100,8080
uk-gsh-fs01,FROM-GSH-WIFI,Extended,80,permit,udp,10.3.88.128 0.0.0.127,host 192.168.9.100,isakmp
uk-gsh-fs01,FROM-GSH-WIFI,Extended,90,permit,udp,10.3.88.128 0.0.0.127,host 192.168.9.100,non500-isakmp
