hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
uk-cwk3-as02,1,Standard,250,permit,,10.120.143.70,,,
uk-cwk3-as02,1,Standard,260,permit,,10.220.142.230,,,
uk-cwk3-as02,1,Standard,270,permit,,10.1.74.128,,,
uk-cwk3-as02,1,Standard,280,permit,,10.17.100.187,,,
uk-cwk3-as02,1,Standard,290,permit,,10.180.142.230,,,
uk-cwk3-as02,1,Standard,300,permit,,10.112.12.144,,,
uk-cwk3-as02,1,Standard,310,permit,,10.120.163.37,,,
uk-cwk3-as02,1,Standard,320,permit,,10.112.12.142,,,
uk-cwk3-as02,1,Standard,330,permit,,10.112.12.143,,,
uk-cwk3-as02,1,Standard,340,permit,,10.1.82.64 0.0.0.31,,,
uk-cwk3-as02,1,Standard,350,permit,,10.1.82.160 0.0.0.31,,,
uk-cwk3-as02,1,Standard,360,permit,,10.1.22.0 0.0.0.255,,,
uk-cwk3-as02,1,Standard,370,permit,,172.16.41.208 0.0.0.15,,,
uk-cwk3-as02,1,Standard,380,permit,,172.16.64.16 0.0.0.7,,,
uk-cwk3-as02,1,Standard,390,permit,,192.168.2.0 0.0.1.255,,,
uk-cwk3-as02,1,Standard,400,permit,,100.79.0.0 0.0.127.255,,,
uk-cwk3-as02,1,Standard,410,deny,,any log,,,
uk-cwk3-as02,10,Standard,10,permit,,10.120.163.59,,,
uk-cwk3-as02,10,Standard,20,deny,,any log,,,
uk-cwk3-as02,11,Standard,60,permit,,10.112.12.126,,,
uk-cwk3-as02,11,Standard,50,permit,,10.112.12.125,,,
uk-cwk3-as02,11,Standard,10,permit,,10.120.136.140,,,
uk-cwk3-as02,11,Standard,40,permit,,10.120.163.123,,,
uk-cwk3-as02,11,Standard,30,permit,,10.120.163.122,,,
uk-cwk3-as02,11,Standard,20,permit,,10.50.3.140,,,
uk-cwk3-as02,11,Standard,70,deny,,any log,,,
uk-cwk3-as02,12,Standard,10,permit,,10.220.163.112,,,
uk-cwk3-as02,12,Standard,20,permit,,10.220.163.111,,,
uk-cwk3-as02,12,Standard,30,permit,,10.180.163.112,,,
uk-cwk3-as02,12,Standard,40,permit,,10.180.163.111,,,
uk-cwk3-as02,12,Standard,50,permit,,10.220.163.247,,,
uk-cwk3-as02,12,Standard,60,permit,,10.210.163.247,,,
uk-cwk3-as02,12,Standard,70,permit,,10.180.163.247,,,
uk-cwk3-as02,12,Standard,80,permit,,10.120.163.61,,,
uk-cwk3-as02,12,Standard,90,permit,,10.120.163.62,,,
uk-cwk3-as02,12,Standard,100,permit,,10.1.14.0 0.0.0.255,,,
uk-cwk3-as02,16,Standard,10,permit,,10.120.163.206,,,
uk-cwk3-as02,16,Standard,20,permit,,10.120.136.150,,,
uk-cwk3-as02,20,Standard,10,permit,,10.120.163.52,,,
uk-cwk3-as02,22,Standard,10,permit,,10.112.12.119,,,
uk-cwk3-as02,22,Standard,20,permit,,10.210.143.80,,,
uk-cwk3-as02,22,Standard,30,permit,,10.120.143.80,,,
uk-cwk3-as02,22,Standard,40,permit,,10.180.142.232,,,
