hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
LSJ_F6AL_SW1,1,Standard,260,permit,,10.1.82.64 0.0.0.31,,,
LSJ_F6AL_SW1,1,Standard,270,permit,,10.1.22.0 0.0.0.255,,,
LSJ_F6AL_SW1,1,Standard,280,permit,,192.168.2.0 0.0.1.255,,,
LSJ_F6AL_SW1,1,Standard,290,permit,,10.210.141.40 0.0.0.7,,,
LSJ_F6AL_SW1,1,Standard,300,permit,,10.180.141.40 0.0.0.7,,,
LSJ_F6AL_SW1,1,Standard,310,permit,,10.120.141.40 0.0.0.7,,,
LSJ_F6AL_SW1,1,Standard,320,permit,,100.79.0.0 0.0.127.255,,,
LSJ_F6AL_SW1,1,Standard,330,deny,,any log,,,
LSJ_F6AL_SW1,10,Standard,10,permit,,10.120.163.210,,,
LSJ_F6AL_SW1,10,Standard,20,permit,,10.112.12.126,,,
LSJ_F6AL_SW1,10,Standard,30,permit,,10.112.12.125,,,
LSJ_F6AL_SW1,10,Standard,40,permit,,10.120.163.123,,,
LSJ_F6AL_SW1,10,Standard,50,permit,,10.120.163.122,,,
LSJ_F6AL_SW1,10,Standard,60,permit,,10.120.163.59,,,
LSJ_F6AL_SW1,10,Standard,70,permit,,10.110.163.59,,,
LSJ_F6AL_SW1,11,Standard,10,permit,,10.112.12.126,,,
LSJ_F6AL_SW1,11,Standard,20,permit,,10.112.12.125,,,
LSJ_F6AL_SW1,11,Standard,30,permit,,10.120.136.140,,,
LSJ_F6AL_SW1,11,Standard,40,permit,,10.120.163.123,,,
LSJ_F6AL_SW1,11,Standard,50,permit,,10.120.163.122,,,
LSJ_F6AL_SW1,11,Standard,60,permit,,10.50.3.140,,,
LSJ_F6AL_SW1,11,Standard,70,deny,,any log,,,
LSJ_F6AL_SW1,12,Standard,10,permit,,10.220.163.112,,,
LSJ_F6AL_SW1,12,Standard,20,permit,,10.220.163.111,,,
LSJ_F6AL_SW1,12,Standard,30,permit,,10.180.163.112,,,
LSJ_F6AL_SW1,12,Standard,40,permit,,10.180.163.111,,,
LSJ_F6AL_SW1,12,Standard,50,permit,,10.220.163.247,,,
LSJ_F6AL_SW1,12,Standard,60,permit,,10.210.163.247,,,
LSJ_F6AL_SW1,12,Standard,70,permit,,10.180.163.247,,,
LSJ_F6AL_SW1,12,Standard,80,permit,,10.120.163.61,,,
LSJ_F6AL_SW1,12,Standard,90,permit,,10.120.163.62,,,
LSJ_F6AL_SW1,12,Standard,100,permit,,10.1.14.0 0.0.0.255,,,
LSJ_F6AL_SW1,13,Standard,10,permit,,192.168.1.165,,,
LSJ_F6AL_SW1,16,Standard,10,permit,,10.120.163.206,,,
LSJ_F6AL_SW1,16,Standard,20,permit,,10.120.136.150,,,
LSJ_F6AL_SW1,22,Standard,10,permit,,10.112.12.119,,,
LSJ_F6AL_SW1,22,Standard,20,permit,,10.210.143.80,,,
LSJ_F6AL_SW1,22,Standard,30,permit,,10.120.143.80,,,
LSJ_F6AL_SW1,22,Standard,40,permit,,10.180.142.232,,,
