hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
uk-sc1-cs01,1,Standard,290,permit,,10.210.141.40 0.0.0.7,,,
uk-sc1-cs01,1,Standard,300,permit,,10.180.141.40 0.0.0.7,,,
uk-sc1-cs01,1,Standard,310,permit,,10.120.141.40 0.0.0.7,,,
uk-sc1-cs01,1,Standard,320,permit,,100.79.0.0 0.0.127.255,,,
uk-sc1-cs01,1,Standard,330,deny,,any log,,,
uk-sc1-cs01,10,Standard,30,permit,,10.120.163.210,,,
uk-sc1-cs01,10,Standard,20,permit,,10.120.163.59,,,
uk-sc1-cs01,10,Standard,10,permit,,10.110.163.59,,,
uk-sc1-cs01,11,Standard,60,permit,,10.112.12.126,,,
uk-sc1-cs01,11,Standard,50,permit,,10.112.12.125,,,
uk-sc1-cs01,11,Standard,20,permit,,10.120.136.140,,,
uk-sc1-cs01,11,Standard,40,permit,,10.120.163.123,,,
uk-sc1-cs01,11,Standard,30,permit,,10.120.163.122,,,
uk-sc1-cs01,11,Standard,10,permit,,10.50.3.140,,,
uk-sc1-cs01,11,Standard,70,deny,,any log,,,
uk-sc1-cs01,12,Standard,50,permit,,10.220.163.112,,,
uk-sc1-cs01,12,Standard,100,permit,,10.220.163.111,,,
uk-sc1-cs01,12,Standard,30,permit,,10.180.163.112,,,
uk-sc1-cs01,12,Standard,90,permit,,10.180.163.111,,,
uk-sc1-cs01,12,Standard,60,permit,,10.220.163.247,,,
uk-sc1-cs01,12,Standard,20,permit,,10.210.163.247,,,
uk-sc1-cs01,12,Standard,40,permit,,10.180.163.247,,,
uk-sc1-cs01,12,Standard,70,permit,,10.120.163.61,,,
uk-sc1-cs01,12,Standard,80,permit,,10.120.163.62,,,
uk-sc1-cs01,12,Standard,10,permit,,10.1.14.0 0.0.0.255,,,
uk-sc1-cs01,16,Standard,20,permit,,10.120.163.206,,,
uk-sc1-cs01,16,Standard,10,permit,,10.120.136.150,,,
uk-sc1-cs01,20,Standard,10,permit,,10.120.136.15,,,
uk-sc1-cs01,22,Standard,10,permit,,10.112.12.119,,,
uk-sc1-cs01,22,Standard,40,permit,,10.210.143.80,,,
uk-sc1-cs01,22,Standard,30,permit,,10.120.143.80,,,
uk-sc1-cs01,22,Standard,20,permit,,10.180.142.232,,,
