hostname,ip address,vrf,preferred,source interface,source vrf
uk-sc1-cr02-new,10.120.163.19,management,yes,MgmtEth0/RSP0/CPU0/0,management
uk-sc1-cr02-new,10.120.163.20,management,no,MgmtEth0/RSP0/CPU0/0,management
