Hudsons,Y,LBO,KCOM,10.92.26.13,10.92.27.13,83.100.156.98/22,83.100.156.98,wh-r_lbo-hudsons,10.96.129.13,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_hudsons,10.96.0.130,WS-C2960X-24PS-L,"15.2(2)E7, RELEASE SOFTWARE (fc3)",10.96.0.128/27,10.160.240.32/27,10.161.240.32/27,10.162.240.32/27,10.163.240.32/27,10.164.240.32/27,10.165.240.32/27,10.166.240.32/27,10.167.240.32/27,,,
Marfleet,Y,LBO,BT,10.92.26.34,10.92.27.34,94.72.229.66/22,94.72.229.66,wh-r_lbo-marfleet,10.96.129.34,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_marfleet,10.96.6.66,WS-C2960X-24PS-L,"15.2(2)E7, RELEASE SOFTWARE (fc3)",10.96.6.64/27,10.160.242.0/27,10.161.242.0/27,10.162.242.0/27,10.163.242.0/27,10.164.242.0/27,10.165.242.0/27,10.166.242.0/27,10.167.242.0/27,,,
Mollison,Y,LBO,KCOM,10.92.26.35,10.92.27.35,83.100.147.102/22,83.100.147.102,wh-r_lbo-mollison,10.96.129.35,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_mollison,10.96.1.34,WS-C2960X-24PS-L,"15.2(2)E7, RELEASE SOFTWARE (fc3)",10.96.1.32/27,10.160.242.32/27,10.161.242.32/27,10.162.242.32/27,10.163.242.32/27,10.164.242.32/27,10.165.242.32/27,10.166.242.32/27,10.167.242.32/27,,,
New Street,Y,LBO,BT,10.92.26.40,10.92.27.40,212.9.27.21/24,212.9.27.21,wh-r_lbo-newstreet,10.96.129.40,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_newstreet,10.96.7.98,WS-C2960X-24PS-L,"15.2(2)E6, RELEASE SOFTWARE (fc1)",10.96.7.96/27,10.160.242.192/27,10.161.242.192/27,10.162.242.192/27,10.163.242.192/27,10.164.242.192/27,10.165.242.192/27,10.166.242.192/27,10.167.242.192/27,,,
Newlands,Y,LBO,KCOM,10.92.26.29,10.92.27.29,83.100.147.90/22,83.100.147.90,wh-r_lbo-newland,10.96.129.29,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_newland,10.96.3.2,WS-C2960X-24PS-L,"15.2(2)E7, RELEASE SOFTWARE (fc3)",10.96.3.0/27,10.160.241.192/27,10.161.241.192/27,10.162.241.192/27,10.163.241.192/27,10.164.241.192/27,10.165.241.192/27,10.166.241.192/27,10.167.241.192/27,,,
Nightjar,Y,LBO,BT,10.92.26.20,10.92.27.20,213.249.229.226/22,213.249.229.226,wh-r_lbo-nightjar,10.96.129.20,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_lbo-nightjar,10.96.1.194,WS-C2960X-24PS-L,"15.2(2)E7, RELEASE SOFTWARE (fc3)",10.96.1.192/27,10.160.241.0/27,10.161.241.0/27,10.162.241.0/27,10.163.241.0/27,10.164.241.0/27,10.165.241.0/27,10.166.241.0/27,10.167.241.0/27,,,
Orchard,Y,LBO,KCOM,10.92.26.36,10.92.27.36,83.100.160.42/22,83.100.160.42,wh-r_lbo-orchard,10.96.129.36,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_orchard,10.96.1.66,WS-C2960X-24PS-L,"15.2(2)E7, RELEASE SOFTWARE (fc3)",10.96.1.64/27,10.160.242.64/27,10.161.242.64/27,10.162.242.64/27,10.163.242.64/27,10.164.242.64/27,10.165.242.64/27,10.166.242.64/27,10.167.242.64/27,,,
Paragon,Y,LBO,KCOM,10.92.26.23,10.92.27.23,83.100.139.122/22,83.100.139.122,wh-r_lbo-paragon,10.96.129.23,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_paragon,10.96.2.98,WS-C2960X-24PS-L,"15.2(2)E7, RELEASE SOFTWARE (fc3)",10.96.2.96/27,10.160.241.64/27,10.161.241.64/27,10.162.241.64/27,10.163.241.64/27,10.164.241.64/27,10.165.241.64/27,10.166.241.64/27,10.167.241.64/27,,,
Poonah Road (Aka Halkett Place),Y,LBO,BT,10.92.26.41,10.92.27.41,212.9.10.58/24,212.9.10.58,wh-r_lbo-halkett,10.96.129.41,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_halkett,10.96.7.130,WS-C2960X-24PS-L,"15.2(2)E6, RELEASE SOFTWARE (fc1)",10.96.7.128/27,10.160.242.224/27,10.161.242.224/27,10.162.242.224/27,10.163.242.224/27,10.164.242.224/27,10.165.242.224/27,10.166.242.224/27,10.167.242.224/27,,,
Redhouses,Y,LBO,BT,10.92.26.45,10.92.27.45,87.244.76.155/24,87.244.76.155,wh-r_lbo-redhouses,10.96.129.45,N/A,Cisco 4321 ISR,"15.5(3)S4b, RELEASE SOFTWARE (fc1)",wh-s_redhouses,10.96.7.194,WS-C2960X-24PS-L,"15.2(2)E6, RELEASE SOFTWARE (fc1)",10.96.7.192/27,10.160.243.96/27,10.161.243.96/27,10.162.243.96/27,10.163.243.96/27,10.164.243.96/27,10.165.243.96/27,10.166.243.96/27,10.167.243.96/27,,,
