admin-state,description,interface,ip-add,mac-address,nameif,netmask,security-level
up,,Port-channel21.2300,10.213.32.1,,cde-web-tier,255.255.255.224,100
up,,Port-channel21.2310,10.213.33.1,,cde-backoffice-tier,255.255.255.224,100
up,,Port-channel21.2323,10.213.39.1,,cde-citrix-tier,255.255.255.0,100
up,,Port-channel21.2334,10.213.44.1,,int-lb,255.255.254.0,100
up,,Port-channel21.2501,10.213.129.42,,management,255.255.255.0,100
up,,Port-channel21.2571,10.213.160.36,,pp2off-internal-vrf,255.255.255.224,100
