admin-state,description,interface,ip-add,mac-address,nameif,netmask,security-level
up,,Port-channel21.71,10.64.73.36,,wan,255.255.255.224,100
up,,Port-channel21.1896,10.212.183.1,,retail-web,255.255.255.224,100
up,,Port-channel21.1946,10.212.172.1,,retail-ssbt,255.255.255.0,100
up,,Port-channel21.2084,10.212.161.196,,pp1on-internal-vrf,255.255.255.224,100
