admin-state,description,interface,ip-add,mac-address,nameif,netmask,security-level
up,,Port-channel21.2583,10.213.161.164,,pp2off-internal-vrf,255.255.255.224,100
up,,Port-channel21.2599,10.213.163.1,,monitoring-int,255.255.255.0,100
